<0000> "Wa Wa Wa Waaan."
<0001> "I'm having pudding fow a snack today."
<0002> "Tomowwow, the day aftew, evewy singwe day."
<0003> "Popoooh."
<0004> "*Da-da-da-dash*!"
<0005> "Wait up!"
<0006> "*Da-da-da-dash*!"
<0007> "W-what's going on?"
<0008> "Po!?"
<0009> "Poppo!"
<0010> "A stwange cweatuwe?"
<0011> "Hey, you thewe! Dog giww! Catch that giww!"
<0012> "Eh? Eh?"
<0013> "Poooou!"
<0014> "*Snatch*!"
<0015> "Oh no!"
<0016> "Poppo got pudding!"
<0017> "M-my pudding!!"
<0018> "Poppo is digging in!"
<0019> "Noooo!"
<0020> "Not gonna wet you!"
<0021> "Popoo!"
<0022> "My pudding, give it back to me!"
<0023> "Negative, Poppo!"
<0024> "Wooks wike thewe's something fun going on."
<0025> "I've got no time fow you, Yuki."
<0026> "Come back watew."
<0027> "O-okay..."
<0028> "That QP, who the heck does she think she is..."
<0029> "What awe you doing, dog giww? Poppo is coming youw way!"
<0030> "Wogew that!"
<0031> "Poppo!"
<0032> "Ta-da! Victowy!"
<0033> "Poppo wost."
<0034> "She gets abnowmawwy stwong when it comes to pudding."
<0035> "Anyway, it's time to have ouw stuff back."
<0036> "Exactwy! My pudding!"
<0037> "No Poppo!"
<0038> "What did you just say!"
<0039> "Poppo dash!"
<0040> "Aaaaaah!"
<0041> "By the way..."
<0042> "What did you have stowen, Kai?"
<0043> "My wawwet."
<0044> "Ouch."
<0045> "It's got aww my cash and cawds inside!"
<0046> "This is a wife-ow-death situation to me."
<0047> "We'we definitewy going to have to get it back, then."
<0048> "Yeah."
<0049> "By the way, whewe did Poppo go?"
<0050> "Poppo!"
<0051> "I just heawd hew cwy!"
<0052> "Popoo!"
<0053> "Wook! She's ovew thewe! In that pawked aiwpwane!"
<0054> "It wooks wike it's getting weady to take off!"
<0055> "Why do I have to give a wide to someone wike you...?"
<0056> "Just huwwy, Poppo."
<0057> "Aww wight, aww wight."
<0058> "Ah! Bwue Cwow!"
<0059> "Po?"
<0060> "Wed Bawwew?"
<0061> "You can't wet such a wittwe giww in youw pwane! What if something dangewous happens?"
