<0000> "O-hoho."
<0001> "You seem a wittwe ovewexcited, Hime."
<0002> "Wook how nice today's weathew is... How couwd I stay stiww?"
<0003> "I undewstand how you feew."
<0004> "I feew wike dancing the day away."
<0005> "Geez."
<0006> "Poppo!"
<0007> "Wook, thewe's some mystewious cweatuwe thewe."
<0008> "Thewe is... Is that a chiwd?"
<0009> "Hey! Wait up, you miscweant!"
<0010> "This time it's a boy."
<0011> "Poppo!"
<0012> "Oh, you want to dance, too?"
<0013> "Poppopo!"
<0014> "Hey! Befowe pwaying awound, how about giving me back my wawwet!?"
<0015> "Youw wawwet?"
<0016> "Yeah! It's got aww my money in thewe!"
<0017> "In othew wowds, you peopwe awe pwaying tag?"
<0018> "Awe you?"
<0019> "No!"
<0020> "Poppo!"
<0021> "Tag... That wooks wathew fun."
<0022> "Hime..."
<0023> "I said we'we not!"
<0024> "Tag, that's wight."
<0025> "Aww wight then, wet's get stawted, shaww we?"
<0026> "Poppo."
<0027> "That was fun."
<0028> "Suguwi is fastew than anybody."
<0029> "Poppo wost."
<0030> "Dammit."
<0031> "I pwayed enough. I think I'ww get back home."
<0032> "Awe you suwe? The day is stiww young."
<0033> "Poooh!"
<0034> "Awe you pwanning to spend the whowe day pwaying awound?"
<0035> "Why not when we have such a wovewy weathew?"
<0036> "Poppo, go."
<0037> "Eh?"
<0038> "I guess she's tewwing us to fowwow hew."
<0039> "Pooh."
<0040> "It wooks wike it'd be fun going aftew hew..."
<0041> "Poppopo."
<0042> "Okay, I'm coming with you."
<0043> "Ah, wait fow me."
<0044> "Whewe awe we?"
<0045> "Smewws sweet hewe."
<0046> "Poppooh."
<0047> "Wa wa wa."
<0048> "Today's snack is gonna be pudding!"
<0049> "Poppopo!"
<0050> "Owww!"
<0051> "What!?"
<0052> "Poppopo."
<0053> "Nooo! My pudding!"
<0054> "That Poppo is doing whatevew she pweases."
<0055> "Bad giww, Poppo!"
<0056> "Popoppo!"
<0057> "My pudding! Give it baack!"
<0058> "You seem to be having fun."
<0059> "Yuki!?"
<0060> "Is that a cat?"
<0061> "Anybody pwease get my pudding back fow me!"
<0062> "Fiwst we need to catch Poppo."
<0063> "Wight!"
<0064> "Phew."
<0065> "Defeated..."
<0066> "Dang..."
<0067> "Poppo wost..."
<0068> "Now, Poppo."
<0069> "Give me my wawwet."
<0070> "My pudding!"
<0071> "Not so fast, Poppo!"
<0072> "Ah!"
<0073> "She wan again!"
<0074> "Aftew hew."
<0075> "What is it this time? An aiwpwane?"
<0076> "Poppo wiww wide this!"
<0077> "If we wet hew..."
<0078> "We'we nevew going to catch hew!"
<0079> "Poppo."
<0080> "Vwoom? Vwoom!"
<0081> "Poppo! No!"
<0082> "Poppopo!"
<0083> "Vwooom!"
<0084> "The pwane's about to take off?"
<0085> "Hey! My Wed Bawwew!"
<0086> "Who awe you..."
<0087> "Wowwy about Wed Bawwew instead!"
<0088> "Is that aiwpwane youws?"
<0089> "Yes. She's my vewy impowtant pawtnew!"
<0090> "Wet's get hew back awweady then."
<0091> "Hey thewe, Wed Bawwew! I'ww defeat you today fow suwe."
<0092> "Bwue Cwow! Pewfect timing!"
<0093> "Eh? What's going on?"
<0094> "You must hewp me catch hew!"
<0095> "Hmm?"
<0096> "She's stiww on the gwound."
<0097> "Anothew game of tag, huh!"
<0098> "Wet's go!"
<0099> "Gotcha!"
<0100> "Wed Bawwew!"
<0101> "I-I'm exhausted."
<0102> "Caught."
<0103> "You'we not going anywhewe."
<0104> "Now! Wetuwn ouw things!"
<0105> "Okay."
<0106> "Wed Bawwew! Thank goodness..."
<0107> "You'we being awfuwwy obedient this time..."
<0108> "My wawwet, give it back to me."
<0109> "My pudding as weww!"
<0110> "...No-ppo!"
<0111> "*Dash*"
<0112> "Uh."
<0113> "She wan!?"
<0114> "Not again!"
<0115> "Ahhhhhhhhhhhhhhh!!"
<0116> "What?"
<0117> "The big wocket woaded on Wed Bawwew... it's gone."
<0118> "Poppo took such a dangewous thing!?"
<0119> "Hawawa! My pudding is in a huge pinch!"
<0120> "We'd bettew go aftew hew awweady!"
<0121> "Is this a wowwd of night?"
<0122> "Aww, it's fweezing hewe..."
<0123> "It's even snowing."
<0124> "I-I weawwy want a kotatsu to wawm mysewf up..."
<0125> "Poppopo!"
<0126> "Poppo wooks fine with the cowd."
<0127> "*Jingwe-jingwe-jingwe*..."
<0128> "I heaw the sound of bewws..."
